event_id,latitude,longitude,observation_time,satellite,instrument,bright_ti4,bright_ti5,frp,confidence,daynight,status,distance_to_industry_km,anomaly_prediction,anomaly_score,is_anomalous,location_group,location_observation_count,location_avg_frp,persistent_activity,frp_change_percent,escalation_flag,evidence,observation_reliability,reliability_label
TH-000105,18.69317,73.04006,2026-09-11 08:03:00,N,VIIRS,329.01,294.1,4.98,n,D,UNCLASSIFIED,,1,0.0162451886797451,False,18.69_73.04,1,4.98,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000112,26.77699,90.32763,2026-09-11 08:05:00,N,VIIRS,331.36,291.43,2.81,n,D,UNCLASSIFIED,,-1,-0.0123334354707652,True,26.78_90.33,2,3.3600000000000003,False,-16.369047619047624,False,Unusual thermal behaviour,70,PARTIAL
TH-000110,23.16489,82.34189,2026-09-11 08:05:00,N,VIIRS,332.83,292.37,6.1,n,D,UNCLASSIFIED,,-1,-0.0067435460215035,True,23.16_82.34,1,6.1,False,0.0,False,Unusual thermal behaviour,70,PARTIAL
TH-000111,26.77685,90.32755,2026-09-11 08:05:00,N,VIIRS,332.52,291.5,3.91,n,D,UNCLASSIFIED,,-1,-0.0106638436877554,True,26.78_90.33,2,3.3600000000000003,False,16.36904761904761,False,Unusual thermal behaviour,70,PARTIAL
TH-000109,21.92127,83.3507,2026-09-11 08:05:00,N,VIIRS,340.46,296.01,9.06,n,D,UNCLASSIFIED,0.755237949681636,-1,-0.0998725151876408,True,21.92_83.35,1,9.06,False,0.0,False,Unusual thermal behaviour | Very close to mapped industrial activity,90,GOOD
TH-000107,21.10511,72.64705,2026-09-11 08:05:00,N,VIIRS,344.32,297.72,9.15,n,D,UNCLASSIFIED,,1,0.0167505152857415,False,21.11_72.65,1,9.15,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000106,21.1033,72.63795,2026-09-11 08:05:00,N,VIIRS,337.6,295.6,5.89,n,D,UNCLASSIFIED,0.9446693321840836,-1,-0.0567869927474216,True,21.1_72.64,1,5.89,False,0.0,False,Unusual thermal behaviour | Very close to mapped industrial activity,90,GOOD
TH-000108,21.1883,81.39214,2026-09-11 08:05:00,N,VIIRS,331.0,295.11,5.07,n,D,UNCLASSIFIED,0.4527952815605187,-1,-0.0833662099980844,True,21.19_81.39,1,5.07,False,0.0,False,Unusual thermal behaviour | Very close to mapped industrial activity,90,GOOD
TH-000137,32.1289,73.31739,2026-09-11 08:07:00,N,VIIRS,336.4,303.61,2.97,n,D,UNCLASSIFIED,,1,0.1420897398631056,False,32.13_73.32,1,2.97,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000136,31.86762,75.00837,2026-09-11 08:07:00,N,VIIRS,343.03,301.46,5.58,n,D,UNCLASSIFIED,4.956846348419992,-1,-0.0933339182245144,True,31.87_75.01,1,5.58,False,0.0,False,Unusual thermal behaviour,90,GOOD
TH-000135,31.78289,75.174,2026-09-11 08:07:00,N,VIIRS,335.78,300.83,3.43,n,D,UNCLASSIFIED,3.717216576310385,1,0.0488835033057945,False,31.78_75.17,1,3.43,False,0.0,False,Limited supporting evidence,90,GOOD
TH-000134,31.74919,74.49052,2026-09-11 08:07:00,N,VIIRS,339.55,304.61,5.09,n,D,UNCLASSIFIED,,1,0.1442883478709905,False,31.75_74.49,1,5.09,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000133,31.59567,74.82895,2026-09-11 08:07:00,N,VIIRS,333.66,305.54,2.21,n,D,UNCLASSIFIED,,1,0.1168641686139643,False,31.6_74.83,1,2.21,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000132,31.45933,74.51919,2026-09-11 08:07:00,N,VIIRS,335.67,302.05,2.97,n,D,UNCLASSIFIED,,1,0.1423236481039184,False,31.46_74.52,1,2.97,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000131,31.25864,74.47987,2026-09-11 08:07:00,N,VIIRS,333.68,301.87,2.36,n,D,UNCLASSIFIED,,1,0.1341172117404426,False,31.26_74.48,1,2.36,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000130,30.98912,74.20541,2026-09-11 08:07:00,N,VIIRS,336.52,304.31,3.03,n,D,UNCLASSIFIED,,1,0.1422962322571485,False,30.99_74.21,1,3.03,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000129,30.87769,75.94084,2026-09-11 08:07:00,N,VIIRS,344.92,302.48,3.0,n,D,UNCLASSIFIED,,1,0.0666005712135956,False,30.88_75.94,1,3.0,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000128,30.87024,70.64391,2026-09-11 08:07:00,N,VIIRS,346.0,306.81,6.05,n,D,UNCLASSIFIED,,1,0.089213352193905,False,30.87_70.64,1,6.05,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000127,30.72791,76.34161,2026-09-11 08:07:00,N,VIIRS,333.5,296.18,1.3,n,D,UNCLASSIFIED,,1,0.0221887303256453,False,30.73_76.34,1,1.3,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000126,30.48006,73.87495,2026-09-11 08:07:00,N,VIIRS,331.99,306.6,2.48,l,D,UNCLASSIFIED,,1,0.1026050493426191,False,30.48_73.87,1,2.48,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000124,28.05294,69.36815,2026-09-11 08:07:00,N,VIIRS,344.23,309.87,5.06,n,D,UNCLASSIFIED,0.5529917544268849,-1,-0.1093952409802619,True,28.05_69.37,1,5.06,False,0.0,False,Unusual thermal behaviour | Very close to mapped industrial activity,90,GOOD
TH-000123,28.05176,69.36261,2026-09-11 08:07:00,N,VIIRS,336.11,307.66,5.06,n,D,UNCLASSIFIED,,1,0.1092657036366991,False,28.05_69.36,1,5.06,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000122,27.63903,68.38539,2026-09-11 08:07:00,N,VIIRS,367.0,305.86,6.07,h,D,UNCLASSIFIED,,-1,-0.0256567146779443,True,27.64_68.39,1,6.07,False,0.0,False,Unusual thermal behaviour,80,GOOD
TH-000121,27.63629,68.39639,2026-09-11 08:07:00,N,VIIRS,343.12,305.53,2.22,n,D,UNCLASSIFIED,,1,0.0761165047887762,False,27.64_68.4,1,2.22,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000120,27.63409,68.3868,2026-09-11 08:07:00,N,VIIRS,355.68,307.0,5.17,n,D,UNCLASSIFIED,,1,0.004453434029618,False,27.63_68.39,1,5.17,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000119,26.95863,68.40443,2026-09-11 08:07:00,N,VIIRS,336.38,308.41,2.82,l,D,UNCLASSIFIED,,1,0.0678396411669428,False,26.96_68.4,1,2.82,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000118,25.86924,68.93317,2026-09-11 08:07:00,N,VIIRS,367.0,306.44,7.52,h,D,UNCLASSIFIED,,-1,-0.0225821854285247,True,25.87_68.93,2,7.32,False,2.73224043715846,False,Unusual thermal behaviour,80,GOOD
TH-000117,25.86876,68.93517,2026-09-11 08:07:00,N,VIIRS,344.54,304.8,8.03,n,D,UNCLASSIFIED,,1,0.1052702346597694,False,25.87_68.94,1,8.03,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000116,25.86803,68.93196,2026-09-11 08:07:00,N,VIIRS,367.0,305.35,7.12,h,D,UNCLASSIFIED,,-1,-0.0278344201770291,True,25.87_68.93,2,7.32,False,-2.732240437158472,False,Unusual thermal behaviour,80,GOOD
TH-000115,25.71819,68.86267,2026-09-11 08:07:00,N,VIIRS,331.61,302.36,11.22,n,D,UNCLASSIFIED,,1,0.048319936998086,False,25.72_68.86,2,12.995,False,-13.65909965371297,False,Limited supporting evidence,70,PARTIAL
TH-000114,25.71746,68.85942,2026-09-11 08:07:00,N,VIIRS,367.0,307.76,14.77,h,D,UNCLASSIFIED,,-1,-0.1186057530091552,True,25.72_68.86,2,12.995,False,13.659099653712955,False,Unusual thermal behaviour,80,GOOD
TH-000113,25.27196,69.08585,2026-09-11 08:07:00,N,VIIRS,340.6,302.6,3.64,n,D,UNCLASSIFIED,,1,0.125749613452022,False,25.27_69.09,1,3.64,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000125,29.13163,75.77078,2026-09-11 08:07:00,N,VIIRS,331.51,305.14,3.84,l,D,UNCLASSIFIED,,1,0.1303203238122688,False,29.13_75.77,1,3.84,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000138,34.15523,74.19093,2026-09-11 08:09:00,N,VIIRS,332.36,300.75,3.76,n,D,UNCLASSIFIED,,1,0.1319739719578095,False,34.16_74.19,2,2.77,False,35.740072202166054,False,Limited supporting evidence,70,PARTIAL
TH-000139,34.15862,74.19041,2026-09-11 08:09:00,N,VIIRS,329.45,299.49,1.78,n,D,UNCLASSIFIED,,1,0.0495614798052956,False,34.16_74.19,2,2.77,False,-35.74007220216606,False,Limited supporting evidence,70,PARTIAL
