event_id,latitude,longitude,observation_time,satellite,instrument,bright_ti4,bright_ti5,frp,confidence,daynight,status,distance_to_industry_km,anomaly_prediction,anomaly_score,is_anomalous,location_group,location_observation_count,location_avg_frp,persistent_activity,frp_change_percent,escalation_flag,evidence,observation_reliability,reliability_label
TH-000058,8.14856,81.34052,2026-09-11 08:01:00,N,VIIRS,350.57,309.71,14.37,n,D,UNCLASSIFIED,,-1,-0.0445255445793556,True,8.15_81.34,1,14.37,False,0.0,False,Unusual thermal behaviour,70,PARTIAL
TH-000057,8.1375,79.99817,2026-09-11 08:01:00,N,VIIRS,333.52,300.43,4.32,l,D,UNCLASSIFIED,,1,0.1305051372964791,False,8.14_80.0,1,4.32,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000066,8.29746,80.13666,2026-09-11 08:01:00,N,VIIRS,337.35,305.64,7.6,l,D,UNCLASSIFIED,,1,0.1222319745105476,False,8.3_80.14,2,7.944999999999999,False,-4.342353681560727,False,Limited supporting evidence,55,PARTIAL
TH-000079,8.39982,80.53334,2026-09-11 08:01:00,N,VIIRS,343.33,303.19,5.51,n,D,UNCLASSIFIED,,1,0.114250646123206,False,8.4_80.53,1,5.51,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000082,8.42381,80.52951,2026-09-11 08:01:00,N,VIIRS,340.72,306.3,7.21,l,D,UNCLASSIFIED,3.333113988801412,1,0.0471332548643968,False,8.42_80.53,1,7.21,False,0.0,False,Limited supporting evidence,75,GOOD
TH-000081,8.42157,80.53754,2026-09-11 08:01:00,N,VIIRS,338.26,303.11,3.49,l,D,UNCLASSIFIED,4.17799474830836,1,0.0288024973521724,False,8.42_80.54,1,3.49,False,0.0,False,Limited supporting evidence,75,GOOD
TH-000102,9.38751,80.61357,2026-09-11 08:01:00,N,VIIRS,339.15,298.09,8.08,l,D,UNCLASSIFIED,1.3827705412622178,-1,-0.038286386548438,True,9.39_80.61,1,8.08,False,0.0,False,Unusual thermal behaviour | Industrial activity detected nearby,75,GOOD
TH-000101,8.97476,80.89706,2026-09-11 08:01:00,N,VIIRS,337.02,300.7,8.49,n,D,UNCLASSIFIED,,1,0.0945730611987114,False,8.97_80.9,1,8.49,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000100,8.96205,80.7947,2026-09-11 08:01:00,N,VIIRS,332.62,303.5,8.02,l,D,UNCLASSIFIED,,1,0.1166392542655439,False,8.96_80.79,1,8.02,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000099,8.92184,77.48255,2026-09-11 08:01:00,N,VIIRS,331.84,297.5,8.51,n,D,UNCLASSIFIED,,1,0.0608049592845934,False,8.92_77.48,1,8.51,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000098,8.77848,77.56741,2026-09-11 08:01:00,N,VIIRS,338.43,300.49,2.92,n,D,UNCLASSIFIED,,1,0.104609994446753,False,8.78_77.57,1,2.92,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000097,8.72995,77.52225,2026-09-11 08:01:00,N,VIIRS,334.04,297.74,3.73,n,D,UNCLASSIFIED,4.359549146613393,-1,-0.016743078102848,True,8.73_77.52,1,3.73,False,0.0,False,Unusual thermal behaviour,90,GOOD
TH-000096,8.71449,80.17688,2026-09-11 08:01:00,N,VIIRS,338.27,302.39,4.68,l,D,UNCLASSIFIED,,1,0.1395240181002751,False,8.71_80.18,1,4.68,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000095,8.68756,80.91789,2026-09-11 08:01:00,N,VIIRS,340.72,303.61,5.86,l,D,UNCLASSIFIED,,1,0.1369594463159905,False,8.69_80.92,1,5.86,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000094,8.64889,81.00204,2026-09-11 08:01:00,N,VIIRS,334.53,304.04,5.13,l,D,UNCLASSIFIED,,1,0.1494850707080369,False,8.65_81.0,1,5.13,False,0.0,False,Limited supporting evidence,55,PARTIAL
